Order Number,Barcode,User Name,Presentage Sisa,Time Date Stamp,Actions
BEO98870,9090101011,admin,,1/1/2016 12:21:39 AM,Gunakan Makanan Jadi
BEO9870,9090101012,admin,,1/1/2016 12:22:39 AM,Gunakan Makanan Jadi
Beo9870,9090101013,admin,,1/1/2016 12:23:17 AM,Gunakan Sisa Bahan
beo9871,9090101014,admin,,1/1/2016 12:24:02 AM,Gunakan Sisa Bahan
beo9871,9090101015,admin,,1/1/2016 12:24:48 AM,Gunakan Sisa Bahan
hrd150401,9090101016,admin,,1/1/2016 12:25:24 AM,Gunakan Sisa Bahan
BEO9876,9090101017,admin,25,1/1/2016 12:17:41 AM,Simpan Sisa Bahan
BEO9876,9090101018,admin,33,1/1/2016 12:18:48 AM,Simpan Sisa Bahan
BEO9876,9090101019,admin,25,1/1/2016 12:19:57 AM,Simpan Sisa Bahan
BEO9870,9090101020,admin,20,1/1/2016 12:20:43 AM,Simpan Sisa Bahan
